Input file: SURFACE.DATA
Date:       28 Aug 1998
Time:       09:59:11
y = 48.1875002 + 7.8250000*x.1 + -1.75500002*x.2
Standard Error of Estimate: 9.85460720171027e+00

           n          x.1          x.2            y   y estimate        delta      delta^2
____________ ____________ ____________ ____________ ____________ ____________ ____________
           1            1            5           38   47.2375001       -9.238   8.533E+001
           2            2            5           40   55.0625001  -1.506E+001      226.879
           3            3            5           85   62.8875001   2.211E+001      488.963
           4            4            5           59   70.7125001  -1.171E+001      137.183
           5            1           10           40   38.4625000        1.538        2.364
           6            2           10           60   46.2875000   1.371E+001      188.033
           7            3           10           68   54.1125000   1.389E+001      192.863
           8            4           10           53   61.9375000       -8.938   7.988E+001
           9            1           15           31   29.6874999        1.313        1.723
          10            2           15           35   37.5124999       -2.512        6.313
          11            3           15           42   45.3374999       -3.337   1.114E+001
          12            4           15           59   53.1624999        5.838   3.408E+001
          13            1           20           18   20.9124998       -2.912        8.483
          14            2           20           34   28.7374998        5.263   2.769E+001
          15            3           20           29   36.5624998       -7.562   5.719E+001
          16            4           20           42   44.3874998       -2.387        5.700
